MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Martin Guptill,New Zealand,1,8.3,281,307,125,875,1,0,RHB,1,1,0,0,0,0,1,11,
AusvsNZ,Kane Williamson,New Zealand,1,8.4,213,329,86,828,4,0,RHB,1,0,0,0,1,0,1,21,
AusvsNZ,Kane Williamson,New Zealand,1,8.5,252,305,93,903,4,0,RHB,1,0,0,0,1,0,1,19,
AusvsNZ,Kane Williamson,New Zealand,1,8.6,321,258,158,1063,0,0,RHB,1,0,0,0,0,0,1,19,1
AusvsNZ,Martin Guptill,New Zealand,1,9.1,272,335,139,684,1,0,RHB,2,1,0,0,0,0,5,19,
AusvsNZ,Kane Williamson,New Zealand,1,9.2,275,335,152,579,1,0,RHB,2,1,0,0,0,0,5,20,
AusvsNZ,Martin Guptill,New Zealand,1,9.3,297,342,153,623,1,0,RHB,2,1,0,0,0,0,5,18,
AusvsNZ,Kane Williamson,New Zealand,1,9.4,281,375,121,425,1,0,RHB,2,1,0,0,0,0,5,16,
AusvsNZ,Martin Guptill,New Zealand,1,9.5,288,358,153,596,1,0,RHB,2,1,0,0,0,0,5,8,
AusvsNZ,Kane Williamson,New Zealand,1,9.6,256,381,117,564,1,0,RHB,2,1,0,0,0,0,5,15,
AusvsNZ,Kane Williamson,New Zealand,1,10.1,263,314,101,828,1,0,RHB,1,1,0,0,0,0,2,18,
AusvsNZ,Martin Guptill,New Zealand,1,10.2,292,382,131,528,1,0,RHB,1,1,0,0,0,0,2,1,
AusvsNZ,Kane Williamson,New Zealand,1,10.3,298,382,160,432,2,0,RHB,1,0,1,0,0,0,2,6,
AusvsNZ,Kane Williamson,New Zealand,1,10.4,272,348,132,16,4,0,RHB,1,0,0,0,1,0,2,18,
AusvsNZ,Kane Williamson,New Zealand,1,10.5,263,380,131,555,4,0,RHB,1,0,0,0,1,0,2,23,
AusvsNZ,Kane Williamson,New Zealand,1,10.6,247,309,120,46,4,0,RHB,1,0,0,0,1,0,2,22,
AusvsNZ,Kane Williamson,New Zealand,1,10.6,207,384,58,323,2,0,RHB,1,0,1,0,0,0,2,18,
AusvsNZ,Martin Guptill,New Zealand,1,11.1,300,368,171,534,0,1,RHB,2,0,0,0,0,0,5,5,1
