StrikerName,BatRuns,WagonWheel
David Warner,4,Fine Leg
David Warner,1,Long On
Mitchell Marsh,1,Mid Wicket
Mitchell Marsh,6,Square Leg
Mitchell Marsh,4,Third Man
Mitchell Marsh,1,Long Off
David Warner,1,Long On
Mitchell Marsh,1,Long On
David Warner,1,Long On
David Warner,1,Fine Leg
Mitchell Marsh,4,Square Leg
Mitchell Marsh,1,Third Man
David Warner,1,Third Man
Mitchell Marsh,0,Point
Mitchell Marsh,1,Long On
Mitchell Marsh,0,Point
Mitchell Marsh,0,Square Leg
David Warner,1,Mid Wicket
Steven Smith,0,Long On
Steven Smith,4,Third Man
Steven Smith,0,Point
David Warner,7,Mid Wicket
David Warner,2,Long Off
David Warner,1,Long On
Steven Smith,1,Third Man
Steven Smith,1,Long Off
David Warner,0,Covers
David Warner,1,Point
Steven Smith,0,Long Off
David Warner,6,Long On
David Warner,1,Long On
Steven Smith,0,Mid Wicket
David Warner,1,Point
Glenn Maxwell,1,Mid Wicket
David Warner,1,Square Leg
David Warner,4,Fine Leg
David Warner,1,Point
Glenn Maxwell,0,Covers
Glenn Maxwell,2,Square Leg
Glenn Maxwell,1,Covers
David Warner,1,Mid Wicket
David Warner,0,Fine Leg
Marcus Stoinis,1,Fine Leg
Glenn Maxwell,0,Third Man
Glenn Maxwell,0,Covers
Glenn Maxwell,1,Point
Marcus Stoinis,1,Mid Wicket
Marcus Stoinis,0,Fine Leg
Marcus Stoinis,0,Covers
Marcus Stoinis,0,Covers
Marcus Stoinis,1,Point
Glenn Maxwell,0,Long Off
Glenn Maxwell,2,Third Man
Marcus Stoinis,1,Long Off
Glenn Maxwell,0,Point
Marcus Stoinis,6,Mid Wicket
Marcus Stoinis,0,Covers
Marcus Stoinis,1,Covers
Matthew Wade,0,Covers
Marcus Stoinis,0,Point
Marcus Stoinis,1,Square Leg
Matthew Wade,0,Third Man
Matthew Wade,4,Long On
Matthew Wade,1,Long On
Marcus Stoinis,0,Fine Leg
Matthew Wade,1,Square Leg
Marcus Stoinis,1,Square Leg
Matthew Wade,0,Third Man
Matthew Wade,1,Square Leg
Marcus Stoinis,2,Point
Marcus Stoinis,1,Point
Marcus Stoinis,4,Covers
Marcus Stoinis,3,Mid Wicket
Marcus Stoinis,2,Mid Wicket
Marcus Stoinis,1,Mid Wicket
Matthew Wade,1,Mid Wicket
Marcus Stoinis,1,Mid Wicket
Matthew Wade,0,Third Man
Marcus Stoinis,0,Long Off
Marcus Stoinis,2,Mid Wicket
Marcus Stoinis,6,Mid Wicket
Marcus Stoinis,4,Long Off
Marcus Stoinis,0,Long Off
Marcus Stoinis,1,Square Leg
Marcus Stoinis,1,Mid Wicket
Matthew Wade,2,Mid Wicket
Matthew Wade,6,Long On
Matthew Wade,1,Mid Wicket
Marcus Stoinis,1,Mid Wicket
Matthew Wade,4,Square Leg
Marcus Stoinis,0,Fine Leg
Marcus Stoinis,1,Point
Matthew Wade,1,Fine Leg
Matthew Wade,2,Mid Wicket
Matthew Wade,6,Fine Leg
Matthew Wade,6,Square Leg
Matthew Wade,6,Fine Leg
Jos Buttler,1,Square Leg
Jonny Bairstow,0,Covers
Jonny Bairstow,1,Long On
Jos Buttler,0,Fine Leg
Jos Buttler,0,Mid Wicket
Jos Buttler,4,Mid Wicket
Jonny Bairstow,0,Long On
Jonny Bairstow,0,Point
Jonny Bairstow,0,Third Man
Jonny Bairstow,2,Covers
Jonny Bairstow,0,Third Man
Jonny Bairstow,4,Fine Leg
Jos Buttler,0,Covers
Jos Buttler,1,Point
Jonny Bairstow,0,Point
Jonny Bairstow,0,Long On
