MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.5,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Abhishek Kumar,2,3,0,113,500,247,336,1,15,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.6,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Kumar,2,3,0,106,653,241,310,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.1,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Abhishek Kumar,2,6,0,108,473,217,371,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.2,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Kumar,2,6,0,90,522,206,365,1,7,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.3,2,7 to 15,3,11 to 16,4,0,0,0,0,1,0,Abhishek Sharma,2,6,0,183,544,289,386,2,21,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.4,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Sharma,2,6,0,303,588,402,347,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.5,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Abhishek Kumar,2,6,1,82,456,199,378,1,20,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,11.6,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Sumit Sharma,2,6,0,150,538,276,333,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.1,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Sumit Sharma,2,3,0,152,407,279,373,1,19,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.2,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,239,549,345,370,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.3,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Sumit Sharma,2,3,0,151,675,342,355,1,18,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.4,2,7 to 15,3,11 to 16,2,0,0,1,0,0,0,Abhishek Sharma,2,3,0,216,500,334,349,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.5,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,206,407,322,375,2,20,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,12.6,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Sumit Sharma,2,3,0,113,516,254,365,1,22,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,13.1,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Sumit Sharma,2,6,0,165,423,291,357,1,20,1
