MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
3,AusvsNZ,18-06-2021,10213,5,17.2,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,Glenn Phillips,1,1,1,146,779,295,325,1,21,1
3,AusvsNZ,18-06-2021,10213,5,17.3,3,16 to 20,4,17 to 20,4,,0,0,0,1,0,Kane Williamson,1,1,0,102,548,219,371,1,23,1
3,AusvsNZ,18-06-2021,10213,5,17.4,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,Kane Williamson,1,1,0,66,794,237,335,1,19,1
3,AusvsNZ,18-06-2021,10213,5,17.5,3,16 to 20,4,17 to 20,0,0,0,0,0,0,0,Kane Williamson,1,1,1,99,616,241,370,1,17,1
3,AusvsNZ,18-06-2021,10213,5,17.6,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,James Neesham,1,1,0,136,821,296,337,2,1,2
3,AusvsNZ,18-06-2021,10213,5,18.1,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,James Neesham,1,1,0,178,789,345,335,2,21,2
3,AusvsNZ,18-06-2021,10213,5,18.2,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Tim Seifert,1,1,0,93,841,215,320,1,19,1
3,AusvsNZ,18-06-2021,10213,5,18.3,3,16 to 20,4,17 to 20,6,,0,0,0,0,1,James Neesham,1,1,0,175,828,386,324,2,20,2
3,AusvsNZ,18-06-2021,10213,5,18.4,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,James Neesham,1,1,0,136,1077,300,257,2,20,2
3,AusvsNZ,18-06-2021,10213,5,18.5,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Tim Seifert,1,1,0,75,903,220,285,1,10,1
3,AusvsNZ,18-06-2021,10213,5,18.6,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,James Neesham,1,1,0,136,1092,388,280,2,3,2
3,AusvsNZ,18-06-2021,10213,5,18.6,3,16 to 20,4,17 to 20,2,,0,1,0,0,0,James Neesham,1,1,0,152,800,345,331,2,14,2
3,AusvsNZ,18-06-2021,10213,5,19.1,3,16 to 20,4,17 to 20,4,,0,0,0,1,0,Tim Seifert,1,2,0,199,378,333,388,1,20,1
3,AusvsNZ,18-06-2021,10213,5,19.2,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,Tim Seifert,1,2,0,61,105,205,416,1,11,1
3,AusvsNZ,18-06-2021,10213,5,19.3,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Tim Seifert,1,2,0,98,26,193,382,1,19,1
3,AusvsNZ,18-06-2021,10213,5,19.4,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,James Neesham,1,2,0,293,739,400,336,2,16,2
